Date	students
2021-05-31	88
2021-06-01	84
2021-06-02	85
2021-06-03	85
2021-06-04	84
2021-06-07	85
2021-06-08	83
2021-06-09	85
2021-06-10	88
2021-06-11	89
2021-06-14	91
2021-06-15	99
2021-06-16	104
2021-06-17	112
2021-06-18	126
2021-06-21	138
2021-06-22	146
2021-06-23	151
2021-06-24	150
2021-06-25	148
2021-06-28	147
2021-06-29	149
2021-06-30	143
2021-07-01	132
2021-07-02	131
2021-07-05	139
2021-07-06	147
2021-07-07	150
2021-07-08	148
2021-07-09	145
2021-07-12	140
2021-07-13	134
2021-07-14	131
2021-07-15	131
2021-07-16	129
2021-07-19	126
2021-07-20	126
2021-07-22	132
2021-07-23	137
2021-07-26	140
2021-07-27	142
2021-07-28	150
2021-07-29	159
2021-07-30	167
2021-08-02	170
2021-08-03	171
2021-08-04	172
2021-08-05	172
2021-08-06	174
2021-08-09	175
2021-08-10	172
2021-08-11	172
2021-08-12	174
2021-08-13	174
2021-08-16	169
2021-08-17	165
2021-08-18	156
2021-08-20	142
2021-08-23	131
2021-08-24	121
2021-08-25	112
2021-08-26	104
2021-08-27	102
2021-08-30	99
2021-08-31	99
2021-09-01	95
2021-09-02	88
2021-09-03	84
2021-09-06	84
2021-09-07	87
2021-09-08	89
2021-09-09	88
2021-09-13	85
2021-09-14	86
2021-09-15	89
2021-09-16	91
2021-09-17	91
2021-09-20	94
2021-09-21	101
2021-09-22	110
2021-09-23	121
2021-09-24	135
2021-09-27	145
2021-09-28	149
2021-09-29	156
2021-09-30	165
2021-10-01	171
2021-10-04	175
2021-10-05	177
2021-10-06	182
2021-10-07	193
2021-10-08	204
2021-10-11	208
2021-10-12	210
2021-10-13	215
2021-10-14	222
2021-10-18	228
2021-10-19	226
2021-10-20	222
2021-10-21	220

